COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,LEAVE
1,152863,0,75,200579,605,0,2,25,2,0,0
1,82251,69,0,615508,345,5,8,100,1,4,1
1,55191,0,13,889707,271,0,6,50,0,3,1
1,132729,245,0,975834,319,21,10,50,2,1,0
1,111211,219,0,636157,447,26,8,0,4,4,1
0,30742,82,59,175583,146,4,1,50,4,1,1
0,98101,175,12,185838,381,14,6,50,1,1,0
1,92165,152,0,771245,372,26,15,50,3,1,1
1,65410,0,32,259440,361,1,2,100,1,3,0
1,106193,203,0,458895,491,21,8,25,0,0,0
1,43913,218,73,184765,243,14,2,25,1,4,0
1,125614,0,82,172512,673,1,1,25,3,0,1
0,33536,196,0,293898,179,19,9,100,4,1,0
0,91018,171,22,803631,378,14,5,0,1,0,1
1,126755,228,0,178369,594,14,9,75,1,1,0
1,41874,0,0,477865,198,4,8,0,0,1,0
0,96808,0,56,413429,307,0,11,100,0,0,0
0,130831,203,37,679608,564,13,2,0,1,0,0
1,122774,78,0,177649,754,3,9,100,1,4,1
1,92022,70,0,907989,268,3,10,0,0,3,1
1,92585,0,83,625278,309,1,9,0,4,1,0
1,121739,0,0,869426,805,1,14,50,0,0,0
1,90093,221,9,761768,390,28,6,25,1,0,1
1,44713,0,70,244136,229,1,1,100,3,1,1
0,102317,70,0,502376,571,3,12,50,3,1,1
1,139804,80,12,725992,605,3,4,25,0,0,1
1,44734,0,58,809949,200,1,13,75,1,1,0
1,130433,73,10,201671,614,3,4,100,1,2,0
0,151743,226,0,252067,781,11,12,0,1,0,0
1,92843,184,69,214578,360,21,4,0,0,0,0
0,61160,0,0,190204,331,1,8,25,1,4,1
0,61956,87,0,241677,753,5,2,100,1,0,1
0,27984,0,17,493115,236,1,12,0,1,3,1
0,95617,197,32,700876,315,19,2,50,2,0,1
0,72053,45,0,545680,285,4,15,100,4,1,1
1,141865,154,6,280204,691,3,5,0,4,1,0
1,112939,213,0,206983,494,26,13,100,1,0,0
1,153073,221,9,436838,477,25,6,100,1,3,0
0,99064,235,16,763680,281,1,4,75,4,3,1
1,42181,72,0,214066,197,3,10,100,1,0,1
1,27945,197,17,170683,154,12,6,75,2,1,0
0,104359,75,23,697629,460,27,5,100,4,0,0
0,133227,0,36,597447,780,1,1,25,1,3,1
0,46760,230,0,552976,224,19,11,0,4,1,0
0,33445,182,84,201373,155,10,2,0,3,3,0
1,61915,44,59,342735,378,4,2,0,1,1,1
1,157644,50,12,246973,537,4,4,50,4,4,0
0,155149,178,0,224294,406,15,13,0,4,3,1
0,66588,233,0,215514,371,18,15,25,0,1,0
0,31409,145,23,910527,200,23,1,0,1,0,1
1,52814,62,0,538350,253,3,8,25,0,0,0
0,151627,71,0,248208,582,5,10,25,4,0,1
1,109684,0,14,167886,730,0,8,100,1,3,1
1,29005,146,0,345310,204,19,10,50,4,0,1
0,48619,222,17,267344,176,10,1,75,4,1,0
1,79380,78,33,956842,303,4,1,0,0,3,0
0,59221,171,56,721347,281,20,2,0,1,0,0
1,25013,57,88,497345,138,3,2,100,0,1,1
1,82889,0,0,294120,844,1,11,25,1,0,0
1,129466,60,0,672504,732,3,12,75,0,1,0
1,37263,0,20,168922,247,0,4,50,1,0,1
1,126562,0,11,295468,700,1,1,75,1,0,1
1,28804,51,13,676869,207,4,4,100,4,0,1
1,114022,0,0,303244,196,1,10,100,2,1,0
0,33955,0,15,547644,182,29,5,100,1,0,1
1,28311,0,52,344968,169,1,1,0,4,4,1
0,134978,63,0,250745,614,3,14,100,1,4,1
0,157121,98,21,295727,615,5,4,0,4,3,0
0,44315,221,0,204100,131,14,14,0,2,1,1
1,47113,0,6,988310,192,0,4,100,4,1,1
1,37890,0,0,468617,235,0,15,0,3,3,0
1,27005,185,7,625976,193,24,5,0,0,0,1
0,115730,263,47,375131,683,20,1,0,1,1,0
0,132376,177,16,399301,837,22,5,100,1,1,0
0,105814,172,22,282118,563,13,5,25,1,1,0
0,31552,0,55,189274,239,0,1,25,0,1,0
1,45703,172,11,427037,145,15,6,0,4,0,0
0,126718,61,0,343847,492,4,12,25,4,1,0
1,24992,0,0,474396,240,0,11,0,1,1,0
0,60809,235,9,434847,354,25,4,0,4,0,0
1,98813,196,0,684199,366,12,11,100,1,1,0
0,27227,0,23,218605,195,1,6,50,1,0,1
1,145115,0,0,175115,507,1,11,100,1,0,1
1,20844,0,30,463068,243,1,2,0,1,3,1
1,35996,210,23,223268,212,14,15,50,1,1,0
0,98064,49,54,295639,317,3,2,25,4,3,0
0,81288,49,0,276667,266,4,8,100,0,0,0
0,121210,47,89,223661,448,5,1,50,0,1,0
1,35593,162,17,165027,131,18,4,0,4,0,0
0,93816,53,0,779635,370,5,15,50,2,1,1
0,48160,55,20,492616,231,5,4,0,0,2,1
0,42759,184,0,582094,145,15,8,100,1,0,0
0,149110,0,10,629165,747,0,5,50,3,1,1
1,48030,55,72,233254,174,3,1,0,4,3,1
1,140091,63,20,354330,763,3,5,50,1,3,1
0,153391,47,88,281272,518,0,2,100,1,0,0
0,101630,0,0,640544,811,1,11,0,1,0,0
0,22166,193,7,302744,360,27,4,25,4,3,0
0,80193,0,43,353559,308,1,1,25,3,3,0
1,87269,0,0,244719,349,1,9,75,1,3,1
1,133811,60,20,912325,779,5,6,100,0,0,0
0,87450,229,84,202608,319,16,1,0,1,0,0
0,141110,0,48,433027,500,0,1,0,4,0,0
1,34135,235,80,279080,516,18,10,50,4,0,0
1,104392,0,0,247836,778,1,8,100,1,3,0
1,156434,55,15,417298,501,5,4,0,3,0,1
0,38212,0,20,435049,176,17,4,0,0,0,1
0,32799,39,0,548785,181,3,13,0,1,4,1
1,49927,38,22,525311,160,5,5,0,1,0,0
0,98211,0,78,827058,263,0,1,0,1,3,1
1,154217,0,30,553967,553,0,2,0,0,3,0
0,49897,0,16,361467,222,0,4,100,4,0,1
1,151155,74,0,169335,744,3,14,0,4,3,0
1,104508,60,70,516943,465,3,2,50,0,1,0
1,147369,0,22,457547,556,0,6,0,0,0,1
1,40111,76,58,383330,181,3,1,100,4,1,0
0,26605,225,39,545912,213,14,1,25,1,3,0
1,54995,33,0,723671,287,1,14,100,3,0,0
0,137801,45,0,329814,707,5,13,100,1,0,0
0,32786,203,18,847293,217,28,15,75,1,0,1
1,29215,0,11,829545,147,0,5,0,0,0,1
0,52318,89,0,365145,390,3,8,0,4,4,0
0,38199,194,7,437848,203,0,5,100,4,4,0
0,103685,50,0,280824,467,3,15,25,0,0,1
0,71884,0,0,220732,321,0,9,0,3,1,0
0,38536,167,72,643546,160,1,2,0,4,3,1
0,46552,43,0,752347,135,3,9,25,4,0,1
0,31754,61,0,548216,149,3,8,0,4,0,1
0,66096,206,85,474079,312,17,2,0,1,1,0
0,81213,51,48,846657,392,4,2,0,1,3,1
0,40007,50,0,452723,140,5,1,0,1,2,0
1,113878,51,0,863737,760,4,12,100,1,4,1
0,143837,216,66,164439,571,15,2,25,0,0,0
0,49378,218,65,389665,144,13,2,0,4,3,0
0,108842,67,26,254481,517,4,1,50,1,0,0
1,26745,0,47,914098,227,0,1,100,4,0,1
0,26681,0,6,559376,159,20,6,0,3,2,1
1,41537,33,33,293095,175,4,2,25,0,0,0
0,159769,61,0,619810,596,4,8,25,1,3,0
1,25463,42,9,639186,133,1,6,0,0,3,0
1,156919,66,0,656256,222,3,11,0,0,3,0
1,40018,79,0,588761,837,5,10,100,3,0,0
0,82145,69,14,454457,140,0,5,100,1,1,0
1,158010,0,24,158520,422,0,6,100,4,0,1
1,37908,148,70,515646,187,12,1,25,0,4,1
1,153769,50,39,799356,781,3,4,0,0,4,0
1,79642,0,10,469442,390,1,4,0,1,0,1
1,134002,57,14,480675,238,19,4,0,1,0,0
0,31499,199,11,657719,225,25,2,75,3,1,1
1,135882,0,61,409952,731,1,4,100,4,2,0
1,20569,152,0,496985,185,14,13,100,1,0,0
1,75859,52,0,267357,263,3,11,0,1,1,1
0,71078,34,72,572463,350,4,1,100,4,0,0
0,134266,0,88,221311,439,0,2,25,0,4,1
1,84616,184,87,962952,225,17,2,100,1,3,1
1,76035,50,12,522691,377,3,5,0,0,1,1
1,79470,161,9,518144,272,28,2,25,4,0,0
1,78416,183,0,388824,276,26,10,75,4,3,0
0,75767,53,88,436054,251,4,2,0,0,0,0
0,102926,0,9,197486,504,0,4,0,1,3,1
0,24559,56,28,645419,141,5,2,100,1,0,1
0,138135,25,6,564575,536,4,6,0,1,4,0
0,79359,77,32,473954,305,29,1,100,4,0,1
1,57583,184,78,187041,314,12,1,50,4,0,0
1,48273,71,0,414753,130,3,2,50,1,3,0
1,79934,68,10,473200,335,11,6,0,1,3,1
0,41222,61,0,907847,331,4,8,100,1,0,1
1,71778,44,70,501105,390,3,2,25,4,0,0
0,21030,56,0,323875,239,4,9,25,0,3,1
0,49755,191,29,294303,212,22,2,0,2,3,0
0,23157,47,85,982795,132,3,1,100,0,0,0
0,21437,64,37,200628,188,0,2,0,2,0,1
1,95952,0,60,446559,374,1,2,100,1,1,1
1,144043,0,34,795449,847,0,2,100,4,0,1
0,55648,51,32,908933,332,5,1,50,1,0,1
1,92719,210,20,190563,395,5,4,100,4,1,0
1,106322,46,20,311872,181,3,5,50,0,0,1
1,95270,223,0,292353,376,22,4,25,0,3,0
1,81295,59,8,541859,284,4,5,100,1,1,1
1,142292,238,81,211362,761,21,1,50,4,1,0
1,38702,0,19,469095,201,1,5,25,0,0,0
1,110389,0,20,470445,789,1,5,25,1,0,1
1,35446,203,0,845204,170,25,9,25,0,1,1
1,80495,72,58,382795,326,5,1,75,0,0,0
1,143424,0,40,448696,766,26,2,100,1,0,0
1,91247,38,22,166142,313,3,5,100,4,3,1
0,28165,52,0,496022,199,5,4,50,4,4,1
1,27561,0,19,733929,222,1,4,100,1,0,1
0,135255,78,58,352473,498,1,2,0,0,0,0
0,155887,222,5,278516,811,29,6,0,4,1,0
0,93239,0,21,630612,264,1,5,75,0,0,1
1,132181,0,64,629528,893,4,2,0,1,1,0
0,96456,218,81,932581,324,1,2,100,0,0,1
0,130348,203,0,231685,445,25,9,0,4,3,0
0,55530,0,0,391642,297,0,8,0,4,1,1
0,58562,0,7,782062,272,1,4,25,4,0,0
1,51168,56,13,952782,389,3,5,0,0,4,1
1,155490,63,67,241662,494,3,2,100,4,3,0
0,97610,265,79,308362,390,20,1,100,4,0,1
1,24249,100,47,232689,134,3,2,50,3,0,0
0,44482,0,0,601770,162,0,14,75,0,1,0
0,142864,164,14,236538,487,24,4,0,1,0,0
0,94725,63,0,436687,384,3,15,100,0,0,1
1,89281,186,7,150021,331,21,6,0,2,3,0
0,64040,0,23,292321,391,3,4,25,4,1,1
0,151435,0,78,489304,680,1,2,0,1,0,0
0,76862,210,68,210001,371,11,2,25,3,0,1
1,77395,73,6,441880,268,5,4,100,1,3,1
0,101894,120,18,254319,869,21,1,75,0,1,0
1,135331,41,76,409970,561,5,2,25,4,3,1
1,48597,74,81,152223,142,3,1,25,1,1,1
0,118442,216,11,404335,164,21,4,75,0,3,0
0,135217,58,0,566213,753,4,14,0,1,4,1
0,21634,48,50,505301,234,5,2,0,4,1,0
0,52505,85,8,912361,359,4,6,0,3,1,1
1,47499,62,0,792947,219,3,2,25,4,0,1
0,35462,0,32,203513,781,1,2,0,0,0,1
0,80765,37,0,498973,252,3,9,100,3,3,1
0,114706,0,5,448239,507,1,4,100,0,1,1
0,106846,64,29,319456,794,3,2,0,4,1,1
0,117531,0,74,464741,673,1,1,75,4,0,1
0,51112,0,0,638240,359,0,11,25,1,0,1
0,108805,242,9,624764,749,11,5,0,0,3,0
0,41946,187,0,222833,195,1,14,0,4,0,0
0,151020,54,70,906567,757,5,2,25,1,4,0
0,96351,60,0,198925,307,5,1,100,4,1,1
1,118428,72,13,733268,422,5,6,25,4,0,0
1,84822,71,9,179746,306,0,6,50,1,0,0
0,71198,62,0,675518,272,4,14,25,1,4,1
0,102427,227,52,925878,565,13,5,25,4,4,1
0,21817,100,24,771557,244,3,5,0,4,1,0
1,105344,0,83,978189,713,1,1,100,1,0,0
0,115780,167,71,785028,759,21,4,0,4,1,0
0,90368,0,0,176305,280,1,8,25,4,1,0
0,38349,0,14,687550,181,1,6,25,0,0,1
0,24596,214,43,539524,214,10,1,100,3,3,0
1,32823,68,73,997653,234,5,2,0,3,1,0
0,109240,71,26,279529,373,4,1,100,1,3,1
1,80971,231,78,856998,363,11,2,50,1,1,1
0,43299,0,19,455046,236,1,4,25,4,4,1
1,26923,0,12,712433,151,1,6,100,0,1,1
1,60272,56,9,664786,366,5,6,0,2,3,1
1,150467,74,74,989555,818,3,1,0,1,1,0
0,99435,51,0,899737,296,11,8,25,1,0,1
1,113059,0,60,441480,834,1,2,25,4,0,0
0,83828,225,40,816166,342,15,2,0,4,0,1
0,48779,221,0,984262,131,19,15,50,3,1,1
0,75740,0,15,212115,395,0,4,50,1,2,1
0,62488,77,24,625717,278,5,9,0,4,0,1
0,114773,0,0,772632,672,0,9,25,4,0,1
1,84107,61,11,509613,250,4,5,50,1,0,1
1,154588,202,27,368593,787,11,2,25,2,1,0
0,85230,62,0,200147,704,5,8,0,3,0,0
0,92449,58,6,771185,333,4,6,0,4,0,1
1,26579,86,24,505543,213,1,5,0,2,1,0
0,148919,53,6,392141,682,5,4,100,1,0,0
0,83681,54,0,775143,338,3,8,100,0,1,0
1,137070,0,0,541938,573,11,11,25,4,0,0
0,95734,0,27,951798,292,1,1,0,0,1,1
0,144325,40,6,965167,707,3,6,0,1,0,0
0,72664,73,0,548977,318,4,11,100,0,1,0
1,38366,0,11,303773,199,1,5,25,4,4,1
0,44287,0,23,409048,241,4,5,25,4,0,1
1,115228,172,0,326861,677,16,15,25,1,4,0
0,149954,196,11,272425,628,20,5,0,4,0,0
1,57711,61,0,208138,313,3,12,50,4,0,0
0,34884,87,23,456794,228,0,5,25,4,0,0
0,139391,0,13,990563,449,0,4,25,3,1,0
0,51238,44,0,219309,309,3,11,0,0,1,1
1,150910,208,13,157594,837,29,15,50,1,3,0
0,57040,74,0,535142,283,5,14,100,1,0,1
0,71318,190,87,280486,645,21,1,75,3,1,0
1,65660,94,12,512966,369,3,4,50,1,1,1
1,33582,0,21,339761,155,1,5,100,2,1,1
1,118051,0,0,220239,772,1,9,0,4,1,0
0,147296,55,30,289121,331,4,1,25,0,0,0
1,108224,0,46,498937,780,1,1,75,4,2,0
1,114788,70,13,367239,653,3,5,25,4,3,1
1,134509,175,16,530332,677,13,5,0,1,3,0
1,20684,0,20,272561,153,0,4,100,3,3,1
1,90964,248,0,699052,398,27,14,0,4,0,1
0,120258,192,0,431783,838,24,5,0,1,0,0
0,52157,196,19,933578,269,5,5,25,1,2,0
0,104799,0,36,212317,246,0,2,25,1,0,0
0,29941,66,62,957745,184,4,2,100,1,3,1
0,35124,161,0,704718,178,10,12,25,1,3,0
1,34193,240,89,659870,609,19,1,100,0,2,1
1,89296,0,0,208853,198,0,10,0,0,0,1
1,124891,212,9,354610,349,11,6,50,4,3,1
1,66392,57,0,347917,302,1,12,100,1,0,0
0,27005,187,60,256163,197,24,1,0,1,0,0
0,109254,184,0,599733,861,14,13,25,1,0,0
1,27751,0,67,380831,158,0,2,25,4,1,0
1,40723,0,14,216914,628,0,1,100,0,3,1
1,95782,49,16,493308,322,3,4,25,4,3,1
0,41936,82,23,189088,186,4,6,0,0,4,1
0,113868,227,41,183375,573,13,1,0,4,0,1
1,105977,130,14,182229,313,21,5,0,3,2,0
0,26657,45,0,391993,179,3,14,100,3,0,0
1,87904,203,17,202766,317,11,5,100,0,1,0
0,144945,0,28,920902,459,1,1,0,0,1,0
1,48287,0,76,523929,179,1,2,100,4,1,0
1,87597,0,24,999248,191,0,5,0,3,3,1
1,27110,160,43,236778,152,24,1,0,4,2,0
0,65230,0,37,627639,292,1,1,100,0,2,0
1,98379,117,0,590375,391,14,10,50,0,2,0
1,36724,0,19,150873,159,1,4,0,1,0,1
0,21976,66,0,426410,354,5,11,0,1,1,0
1,154483,193,21,263985,730,19,10,0,3,3,0
0,27442,37,24,367615,614,5,4,50,1,0,1
1,36797,0,0,218335,163,1,10,100,3,3,0
1,38010,33,24,897786,232,4,5,50,2,0,1
1,115943,200,42,173038,459,24,2,100,3,1,0
1,149365,0,87,578205,623,0,1,25,3,3,1
0,47238,224,13,155134,233,20,4,0,0,1,0
1,118008,63,43,157907,835,3,2,100,1,1,1
1,78353,0,89,777993,340,0,1,0,1,0,1
0,112708,0,0,673268,796,1,9,100,2,1,1
0,139886,79,5,705210,799,4,6,0,1,1,0
0,27089,52,56,281950,184,3,14,0,4,1,0
1,36585,0,43,344581,537,0,1,50,4,3,0
1,43760,60,0,345936,143,11,13,25,1,1,0
1,39061,0,0,202126,151,0,11,0,0,4,0
1,68166,68,80,936581,324,4,2,25,0,4,1
1,137660,80,39,226985,660,5,1,0,1,4,0
1,75854,193,68,436142,300,11,2,25,4,1,1
1,21095,0,0,308648,244,1,8,25,4,1,1
1,45610,225,6,456479,244,12,6,0,1,0,1
0,117558,40,6,403254,263,3,6,0,4,0,1
0,56678,0,0,851958,387,1,14,25,2,3,1
0,131278,0,24,476148,750,1,4,0,1,3,1
1,149900,71,75,658704,839,3,1,75,1,3,0
1,31893,0,0,989208,238,1,5,100,0,0,1
0,48699,0,0,993908,156,1,13,0,1,1,1
1,96199,75,0,583119,321,4,10,50,0,3,1
1,109273,182,22,675062,360,29,5,25,1,0,0
0,38537,170,11,785074,203,28,5,0,0,2,0
1,137815,0,88,208865,673,1,2,25,0,3,1
0,92270,0,39,624619,251,0,1,0,1,4,1
0,38435,241,71,846412,190,17,13,0,1,3,1
0,55125,0,0,784647,648,0,11,100,3,0,1
0,72884,87,54,291343,299,4,1,0,4,1,1
0,96872,45,0,377356,279,3,10,100,4,1,0
1,53967,68,20,178614,275,5,1,100,1,1,1
1,154827,170,86,377589,805,18,1,25,0,1,0
0,143350,236,0,999970,840,25,10,0,3,4,0
1,36724,0,11,499965,130,1,5,25,0,1,0
0,105816,67,0,912387,571,4,12,100,4,1,0
1,83798,0,15,200034,333,0,6,25,4,3,1
1,46005,62,0,271663,218,4,12,0,3,1,1
1,82914,57,0,283459,333,5,12,25,4,4,1
0,82147,184,36,230491,141,21,1,50,3,1,0
0,78418,176,0,486802,277,25,12,25,0,2,1
1,140524,82,9,911366,882,5,4,50,1,0,0
1,90415,179,0,566426,369,14,15,25,1,1,1
1,150433,0,9,392309,431,12,6,0,0,3,0
1,30377,163,0,360046,154,19,13,0,1,0,1
0,113659,168,0,155232,648,21,12,0,1,0,0
1,34569,0,80,737019,230,0,1,0,1,1,1
0,113681,173,17,264837,362,17,5,25,4,3,0
0,43270,0,0,206387,184,1,14,0,1,1,1
0,40869,0,7,927538,199,0,5,25,0,0,1
0,44630,0,71,231648,179,1,1,100,3,0,1
0,59023,0,55,501509,356,0,2,0,2,0,0
1,43494,186,0,662450,300,26,15,0,0,0,1
1,27187,68,68,789740,210,5,2,100,1,0,1
1,127392,198,0,196923,595,24,13,0,1,0,0
0,39026,227,8,781710,212,10,2,25,3,1,1
0,50714,71,0,708017,269,5,14,0,0,4,1
0,123297,0,0,223341,529,0,11,0,4,3,1
0,25550,0,66,181050,156,1,2,25,1,0,0
1,59132,0,0,639521,394,0,6,0,1,1,1
0,140120,0,75,209902,824,26,1,50,3,4,1
1,96534,0,37,180751,311,1,2,100,3,0,0
0,44755,0,51,525917,162,1,1,25,1,1,1
1,97682,0,89,150853,310,0,2,100,1,0,0
0,155465,0,21,182984,620,0,6,75,4,4,1
0,31538,0,0,477387,244,1,13,0,4,3,1
0,93250,51,9,259316,273,3,6,100,4,0,0
0,70419,205,81,165912,334,25,1,0,3,1,0
0,120183,59,57,821259,688,5,1,0,0,0,1
1,20314,0,12,541371,221,1,1,25,0,0,0
0,85746,196,0,918584,394,22,15,100,1,0,1
0,55813,0,15,382983,251,0,4,0,3,0,1
1,94121,0,81,927427,354,1,1,25,1,2,0
0,59191,258,0,509716,252,15,10,50,2,2,0
1,107077,181,42,178471,597,20,2,0,1,4,0
0,54883,0,60,609362,339,1,1,0,4,0,1
1,32260,0,12,376631,352,0,4,100,4,1,0
0,141086,77,86,157602,479,3,1,0,2,0,1
1,141042,56,0,348014,726,5,14,50,1,1,1
